scenario,seed,jobs,candidate_count,first_capacity,second_capacity,probe_available,probe_cost,revise,delay,cost_budget,call_limit,recovery_available,recovery_cost,fixture_sha256,policy,success,failure,cost_units,calls,probe_attempted,compactions,peak_retained_records,peak_retained_serialized_bytes
ample_cheap,2,6,2,6,2,True,1,False,3,100,128,False,1,3dd2fd5b1169fb42dac227c1a7a3e86aa8534de61fa600546234691356e399b8,recent_never,False,missing_receipt,10,10,False,2,6,433
ample_cheap,2,6,2,6,2,True,1,False,3,100,128,False,1,3dd2fd5b1169fb42dac227c1a7a3e86aa8534de61fa600546234691356e399b8,structured_never,True,,10,10,False,2,6,433
ample_cheap,2,6,2,6,2,True,1,False,3,100,128,False,1,3dd2fd5b1169fb42dac227c1a7a3e86aa8534de61fa600546234691356e399b8,structured_always,True,,11,11,True,2,2,145
ample_cheap,2,6,2,6,2,True,1,False,3,100,128,False,1,3dd2fd5b1169fb42dac227c1a7a3e86aa8534de61fa600546234691356e399b8,structured_budgeted,True,,10,10,False,2,6,433
ample_cheap,2,6,2,6,2,True,1,True,3,100,128,False,1,34165a6dd499921ac97b305f5fb8d106ee0f2eb8bd6de8f45b64f8187bc70a64,recent_never,True,,10,10,False,2,6,433
ample_cheap,2,6,2,6,2,True,1,True,3,100,128,False,1,34165a6dd499921ac97b305f5fb8d106ee0f2eb8bd6de8f45b64f8187bc70a64,structured_never,True,,10,10,False,2,6,433
ample_cheap,2,6,2,6,2,True,1,True,3,100,128,False,1,34165a6dd499921ac97b305f5fb8d106ee0f2eb8bd6de8f45b64f8187bc70a64,structured_always,True,,11,11,True,2,2,145
ample_cheap,2,6,2,6,2,True,1,True,3,100,128,False,1,34165a6dd499921ac97b305f5fb8d106ee0f2eb8bd6de8f45b64f8187bc70a64,structured_budgeted,True,,10,10,False,2,6,433
ample_cheap,3,6,2,6,2,True,1,False,3,100,128,False,1,cbc962c904dc9878e9ad1bfb3a6fbe537821bac1d46a3fed7a5267106cfd7995,recent_never,False,missing_receipt,10,10,False,2,6,433
ample_cheap,3,6,2,6,2,True,1,False,3,100,128,False,1,cbc962c904dc9878e9ad1bfb3a6fbe537821bac1d46a3fed7a5267106cfd7995,structured_never,True,,10,10,False,2,6,433
ample_cheap,3,6,2,6,2,True,1,False,3,100,128,False,1,cbc962c904dc9878e9ad1bfb3a6fbe537821bac1d46a3fed7a5267106cfd7995,structured_always,True,,11,11,True,2,2,145
ample_cheap,3,6,2,6,2,True,1,False,3,100,128,False,1,cbc962c904dc9878e9ad1bfb3a6fbe537821bac1d46a3fed7a5267106cfd7995,structured_budgeted,True,,10,10,False,2,6,433
