seed,width,batches,policy,capacity_records,events,max_live_records,queries,correct,all_correct,anchor_correct,peak_records,peak_serialized_payload_bytes,checkpoints
0,8,64,release_on_retire,8,1476,8,449,449,True,True,8,269,0
0,8,64,lru_value_records,16,1476,8,449,448,False,False,16,541,0
0,8,64,release_on_retire,16,1476,8,449,449,True,True,8,269,0
0,8,64,lru_value_records,7,1540,8,449,447,False,False,7,239,64
0,8,64,release_on_retire,7,1540,8,449,447,False,False,7,238,64
0,8,64,lru_value_records,8,1540,8,449,448,False,False,8,273,64
0,8,64,release_on_retire,8,1540,8,449,449,True,True,8,269,64
0,8,64,lru_value_records,16,1540,8,449,448,False,False,16,541,64
0,8,64,release_on_retire,16,1540,8,449,449,True,True,8,269,64
0,8,64,lru_value_records,7,1796,8,449,447,False,False,7,239,320
0,8,64,release_on_retire,7,1796,8,449,447,False,False,7,238,320
0,8,64,lru_value_records,8,1796,8,449,448,False,False,8,273,320
0,8,64,release_on_retire,8,1796,8,449,449,True,True,8,269,320
0,8,64,lru_value_records,16,1796,8,449,448,False,False,16,541,320
0,8,64,release_on_retire,16,1796,8,449,449,True,True,8,269,320
1,2,4,lru_value_records,1,24,2,5,3,False,False,1,34,0
1,2,4,release_on_retire,1,24,2,5,3,False,False,1,34,0
1,2,4,lru_value_records,2,24,2,5,4,False,False,2,66,0
1,2,4,release_on_retire,2,24,2,5,5,True,True,2,66,0
1,2,4,lru_value_records,4,24,2,5,4,False,False,4,131,0
1,2,4,release_on_retire,4,24,2,5,5,True,True,2,66,0
1,2,4,lru_value_records,1,28,2,5,3,False,False,1,34,4
1,2,4,release_on_retire,1,28,2,5,3,False,False,1,34,4
1,2,4,lru_value_records,2,28,2,5,4,False,False,2,66,4
1,2,4,release_on_retire,2,28,2,5,5,True,True,2,66,4
1,2,4,lru_value_records,4,28,2,5,4,False,False,4,131,4
1,2,4,release_on_retire,4,28,2,5,5,True,True,2,66,4
1,2,4,lru_value_records,1,44,2,5,3,False,False,1,34,20
1,2,4,release_on_retire,1,44,2,5,3,False,False,1,34,20
1,2,4,lru_value_records,2,44,2,5,4,False,False,2,66,20
1,2,4,release_on_retire,2,44,2,5,5,True,True,2,66,20
1,2,4,lru_value_records,4,44,2,5,4,False,False,4,131,20
1,2,4,release_on_retire,4,44,2,5,5,True,True,2,66,20
1,2,16,lru_value_records,1,84,2,17,15,False,False,1,35,0
1,2,16,release_on_retire,1,84,2,17,15,False,False,1,35,0
1,2,16,lru_value_records,2,84,2,17,16,False,False,2,69,0
1,2,16,release_on_retire,2,84,2,17,17,True,True,2,66,0
1,2,16,lru_value_records,4,84,2,17,16,False,False,4,136,0
1,2,16,release_on_retire,4,84,2,17,17,True,True,2,66,0
1,2,16,lru_value_records,1,100,2,17,15,False,False,1,35,16
1,2,16,release_on_retire,1,100,2,17,15,False,False,1,35,16
1,2,16,lru_value_records,2,100,2,17,16,False,False,2,69,16
1,2,16,release_on_retire,2,100,2,17,17,True,True,2,66,16
1,2,16,lru_value_records,4,100,2,17,16,False,False,4,136,16
1,2,16,release_on_retire,4,100,2,17,17,True,True,2,66,16
1,2,16,lru_value_records,1,164,2,17,15,False,False,1,35,80
1,2,16,release_on_retire,1,164,2,17,15,False,False,1,35,80
1,2,16,lru_value_records,2,164,2,17,16,False,False,2,69,80
1,2,16,release_on_retire,2,164,2,17,17,True,True,2,66,80
1,2,16,lru_value_records,4,164,2,17,16,False,False,4,136,80
1,2,16,release_on_retire,4,164,2,17,17,True,True,2,66,80
1,2,64,lru_value_records,1,324,2,65,63,False,False,1,35,0
1,2,64,release_on_retire,1,324,2,65,63,False,False,1,35,0
1,2,64,lru_value_records,2,324,2,65,64,False,False,2,69,0
1,2,64,release_on_retire,2,324,2,65,65,True,True,2,66,0
1,2,64,lru_value_records,4,324,2,65,64,False,False,4,137,0
1,2,64,release_on_retire,4,324,2,65,65,True,True,2,66,0
1,2,64,lru_value_records,1,388,2,65,63,False,False,1,35,64
1,2,64,release_on_retire,1,388,2,65,63,False,False,1,35,64
1,2,64,lru_value_records,2,388,2,65,64,False,False,2,69,64
1,2,64,release_on_retire,2,388,2,65,65,True,True,2,66,64
1,2,64,lru_value_records,4,388,2,65,64,False,False,4,137,64
1,2,64,release_on_retire,4,388,2,65,65,True,True,2,66,64
1,2,64,lru_value_records,1,644,2,65,63,False,False,1,35,320
1,2,64,release_on_retire,1,644,2,65,63,False,False,1,35,320
1,2,64,lru_value_records,2,644,2,65,64,False,False,2,69,320
1,2,64,release_on_retire,2,644,2,65,65,True,True,2,66,320
1,2,64,lru_value_records,4,644,2,65,64,False,False,4,137,320
1,2,64,release_on_retire,4,644,2,65,65,True,True,2,66,320
1,4,4,lru_value_records,3,48,4,13,11,False,False,3,100,0
1,4,4,release_on_retire,3,48,4,13,11,False,False,3,100,0
1,4,4,lru_value_records,4,48,4,13,12,False,False,4,132,0
1,4,4,release_on_retire,4,48,4,13,13,True,True,4,132,0
1,4,4,lru_value_records,8,48,4,13,12,False,False,8,261,0
1,4,4,release_on_retire,8,48,4,13,13,True,True,4,132,0
1,4,4,lru_value_records,3,52,4,13,11,False,False,3,100,4
1,4,4,release_on_retire,3,52,4,13,11,False,False,3,100,4
1,4,4,lru_value_records,4,52,4,13,12,False,False,4,132,4
1,4,4,release_on_retire,4,52,4,13,13,True,True,4,132,4
1,4,4,lru_value_records,8,52,4,13,12,False,False,8,261,4
1,4,4,release_on_retire,8,52,4,13,13,True,True,4,132,4
1,4,4,lru_value_records,3,68,4,13,11,False,False,3,100,20
1,4,4,release_on_retire,3,68,4,13,11,False,False,3,100,20
1,4,4,lru_value_records,4,68,4,13,12,False,False,4,132,20
1,4,4,release_on_retire,4,68,4,13,13,True,True,4,132,20
1,4,4,lru_value_records,8,68,4,13,12,False,False,8,261,20
1,4,4,release_on_retire,8,68,4,13,13,True,True,4,132,20
1,4,16,lru_value_records,3,180,4,49,47,False,False,3,103,0
1,4,16,release_on_retire,3,180,4,49,47,False,False,3,103,0
1,4,16,lru_value_records,4,180,4,49,48,False,False,4,136,0
1,4,16,release_on_retire,4,180,4,49,49,True,True,4,135,0
1,4,16,lru_value_records,8,180,4,49,48,False,False,8,271,0
1,4,16,release_on_retire,8,180,4,49,49,True,True,4,135,0
1,4,16,lru_value_records,3,196,4,49,47,False,False,3,103,16
1,4,16,release_on_retire,3,196,4,49,47,False,False,3,103,16
1,4,16,lru_value_records,4,196,4,49,48,False,False,4,136,16
1,4,16,release_on_retire,4,196,4,49,49,True,True,4,135,16
1,4,16,lru_value_records,8,196,4,49,48,False,False,8,271,16
1,4,16,release_on_retire,8,196,4,49,49,True,True,4,135,16
1,4,16,lru_value_records,3,260,4,49,47,False,False,3,103,80
1,4,16,release_on_retire,3,260,4,49,47,False,False,3,103,80
1,4,16,lru_value_records,4,260,4,49,48,False,False,4,136,80
1,4,16,release_on_retire,4,260,4,49,49,True,True,4,135,80
1,4,16,lru_value_records,8,260,4,49,48,False,False,8,271,80
1,4,16,release_on_retire,8,260,4,49,49,True,True,4,135,80
1,4,64,lru_value_records,3,708,4,193,191,False,False,3,103,0
1,4,64,release_on_retire,3,708,4,193,191,False,False,3,103,0
1,4,64,lru_value_records,4,708,4,193,192,False,False,4,137,0
1,4,64,release_on_retire,4,708,4,193,193,True,True,4,135,0
1,4,64,lru_value_records,8,708,4,193,192,False,False,8,272,0
1,4,64,release_on_retire,8,708,4,193,193,True,True,4,135,0
1,4,64,lru_value_records,3,772,4,193,191,False,False,3,103,64
1,4,64,release_on_retire,3,772,4,193,191,False,False,3,103,64
1,4,64,lru_value_records,4,772,4,193,192,False,False,4,137,64
1,4,64,release_on_retire,4,772,4,193,193,True,True,4,135,64
1,4,64,lru_value_records,8,772,4,193,192,False,False,8,272,64
1,4,64,release_on_retire,8,772,4,193,193,True,True,4,135,64
1,4,64,lru_value_records,3,1028,4,193,191,False,False,3,103,320
1,4,64,release_on_retire,3,1028,4,193,191,False,False,3,103,320
1,4,64,lru_value_records,4,1028,4,193,192,False,False,4,137,320
1,4,64,release_on_retire,4,1028,4,193,193,True,True,4,135,320
1,4,64,lru_value_records,8,1028,4,193,192,False,False,8,272,320
1,4,64,release_on_retire,8,1028,4,193,193,True,True,4,135,320
1,8,4,lru_value_records,7,96,8,29,27,False,False,7,231,0
1,8,4,release_on_retire,7,96,8,29,27,False,False,7,231,0
1,8,4,lru_value_records,8,96,8,29,28,False,False,8,264,0
1,8,4,release_on_retire,8,96,8,29,29,True,True,8,262,0
1,8,4,lru_value_records,16,96,8,29,28,False,False,16,521,0
1,8,4,release_on_retire,16,96,8,29,29,True,True,8,262,0
1,8,4,lru_value_records,7,100,8,29,27,False,False,7,231,4
1,8,4,release_on_retire,7,100,8,29,27,False,False,7,231,4
1,8,4,lru_value_records,8,100,8,29,28,False,False,8,264,4
1,8,4,release_on_retire,8,100,8,29,29,True,True,8,262,4
1,8,4,lru_value_records,16,100,8,29,28,False,False,16,521,4
1,8,4,release_on_retire,16,100,8,29,29,True,True,8,262,4
1,8,4,lru_value_records,7,116,8,29,27,False,False,7,231,20
1,8,4,release_on_retire,7,116,8,29,27,False,False,7,231,20
1,8,4,lru_value_records,8,116,8,29,28,False,False,8,264,20
1,8,4,release_on_retire,8,116,8,29,29,True,True,8,262,20
1,8,4,lru_value_records,16,116,8,29,28,False,False,16,521,20
1,8,4,release_on_retire,16,116,8,29,29,True,True,8,262,20
1,8,16,lru_value_records,7,372,8,113,111,False,False,7,238,0
1,8,16,release_on_retire,7,372,8,113,111,False,False,7,237,0
1,8,16,lru_value_records,8,372,8,113,112,False,False,8,272,0
1,8,16,release_on_retire,8,372,8,113,113,True,True,8,268,0
1,8,16,lru_value_records,16,372,8,113,112,False,False,16,539,0
1,8,16,release_on_retire,16,372,8,113,113,True,True,8,268,0
1,8,16,lru_value_records,7,388,8,113,111,False,False,7,238,16
1,8,16,release_on_retire,7,388,8,113,111,False,False,7,237,16
1,8,16,lru_value_records,8,388,8,113,112,False,False,8,272,16
1,8,16,release_on_retire,8,388,8,113,113,True,True,8,268,16
1,8,16,lru_value_records,16,388,8,113,112,False,False,16,539,16
